[2026-01-08 19:30:14,319] 25 root - INFO - Initiate the data ingestion
[2026-01-08 19:30:16,964] 27 root - INFO - Data Initiation Completed
[2026-01-08 19:30:16,965] 24 root - INFO - Initializing DataValidation
[2026-01-08 19:30:16,971] 36 root - INFO - Schema loaded successfully
[2026-01-08 19:30:16,971] 31 root - INFO - Initiate the data Validation
[2026-01-08 19:30:16,971] 111 root - INFO - Starting data validation
[2026-01-08 19:30:16,995] 56 root - INFO - Expected columns count: 31
[2026-01-08 19:30:16,995] 57 root - INFO - Dataframe columns count: 31
[2026-01-08 19:30:17,136] 126 root - INFO - Data validation completed successfully
[2026-01-08 19:30:17,136] 33 root - INFO - data validation completed
[2026-01-08 19:30:17,136] 43 root - INFO - data Transformation started
[2026-01-08 19:30:17,136] 66 root - INFO - Starting data transformation
[2026-01-08 19:30:17,169] 49 root - INFO - Creating data transformer object
[2026-01-08 19:30:17,177] 56 root - INFO - Entered the save_object method of MainUtils class
[2026-01-08 19:30:17,189] 60 root - INFO - Exited the save_object method of MainUtils class
[2026-01-08 19:30:17,189] 56 root - INFO - Entered the save_object method of MainUtils class
[2026-01-08 19:30:17,191] 60 root - INFO - Exited the save_object method of MainUtils class
[2026-01-08 19:30:17,194] 47 root - INFO - data Transformation completed
