[2026-01-09 11:18:51,136] 25 root - INFO - Initiate the data ingestion
[2026-01-09 11:18:54,476] 27 root - INFO - Data Initiation Completed
[2026-01-09 11:18:54,476] 24 root - INFO - Initializing DataValidation
[2026-01-09 11:18:54,486] 36 root - INFO - Schema loaded successfully
[2026-01-09 11:18:54,486] 31 root - INFO - Initiate the data Validation
[2026-01-09 11:18:54,487] 111 root - INFO - Starting data validation
[2026-01-09 11:18:54,525] 56 root - INFO - Expected columns count: 31
[2026-01-09 11:18:54,526] 57 root - INFO - Dataframe columns count: 31
[2026-01-09 11:18:54,695] 126 root - INFO - Data validation completed successfully
[2026-01-09 11:18:54,699] 33 root - INFO - data validation completed
[2026-01-09 11:18:54,700] 43 root - INFO - data Transformation started
[2026-01-09 11:18:54,700] 66 root - INFO - Starting data transformation
[2026-01-09 11:18:54,739] 49 root - INFO - Creating data transformer object
[2026-01-09 11:18:54,756] 56 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 11:18:54,759] 60 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 11:18:54,759] 56 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 11:18:54,762] 60 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 11:18:54,764] 47 root - INFO - data Transformation completed
[2026-01-09 11:18:54,765] 49 root - INFO - Model Training sstared
